EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,RULING_YEAR,NTEE_NAME,CLUSTER_KMEANS
270519659,PICTURE PERFECT QUEEN ANNE,% MARGARET OKAMOTO,2563 6TH AVE W,SEATTLE,WA,98119-2259,0,3,3,1000,2014-11-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C50,,2014.0,Environment,0
270826135,SOLAR PIE,% CAROLYN B SHERWOOD,2326 BROADWAY E,SEATTLE,WA,98102-4023,0,3,3,2000,2014-06-01,1,15,0,1,1,202009.0,0,0,2,0,9,0.0,0.0,0.0,C35,,2014.0,Environment,0
271062756,PLESSY AND FERGUSON FOUNDATION,% PHOEBE FERGUSON,302 HILLARY ST,NEW ORLEANS,LA,70118-3750,0,3,3,1000,2012-01-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R20,,2012.0,"Civil Rights, Social Action & Advocacy",0
271209205,TRAILKEEPERS OF OREGON,% JANE GARBISCH,PO BOX 14814,PORTLAND,OR,97293-0814,0,3,3,1200,2010-10-01,1,15,0,1,1,202112.0,4,4,1,0,12,120601.0,406152.0,406152.0,C50,,2010.0,Environment,0
271370327,VOTERS ORGANIZED TO EDUCATE-VOTE ACTION FUND,% NORRIS HENDERSON,4930 WASHINGTON AVE STE D,NEW ORLEANS,LA,70125-1132,0,4,3,3000,2019-07-01,2,0,0,5,1,202112.0,6,5,1,0,12,1160338.0,974206.0,974206.0,R40,,2019.0,"Civil Rights, Social Action & Advocacy",0
271457207,HEALTHY DEMOCRACY FUND,% TYRONE REITMAN,PO BOX 18104,PORTLAND,OR,97218-0104,0,3,3,2000,2011-04-01,1,15,0,1,1,202212.0,4,5,1,0,12,231302.0,741869.0,741869.0,R40,,2011.0,"Civil Rights, Social Action & Advocacy",0
271504824,PACIFIC BAMBOO RESOURCES,% DR JONATHAN SCHERCH,409 47TH AVE SW,SEATTLE,WA,98103-0000,0,3,3,1000,2011-10-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C36,,2011.0,Environment,0
271593067,MARINE RESEARCH AND ASSISTANCE COUNCIL,% CHARLES CROPP,7315 SAINT CHARLES AVE,NEW ORLEANS,LA,70118-3808,0,3,3,1000,2010-09-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C05,,2010.0,Environment,0
271791162,INTERNATIONAL LIVING FUTURE INSTITUTE,% THOMAS C BLAND,PO BOX 5874,PORTLAND,OR,97228-5874,0,3,3,2000,2010-07-01,1,15,0,1,1,202112.0,5,7,1,0,12,963361.0,5297800.0,5297800.0,C60,,2010.0,Environment,0
271848945,SEATTLE SOLIDARITY NETWORK,,PO BOX 84278,SEATTLE,WA,98124-5578,0,4,3,1000,2015-02-01,2,0,0,5,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R99,,2015.0,"Civil Rights, Social Action & Advocacy",0
271939436,WICHITA PARK AND RECREATION COMMUNITY FUND,,PO BOX 3439,WICHITA,KS,67201-3439,0,3,3,1200,2011-03-01,1,15,0,1,1,202112.0,5,4,1,0,12,778089.0,359987.0,359987.0,C50,,2011.0,Environment,0
272671115,ONEAMERICA VOTES,,1225 S WELLER ST STE 430,SEATTLE,WA,98144-1906,0,4,3,1200,2011-03-01,2,0,0,1,1,202112.0,5,4,1,0,12,728804.0,461532.0,461532.0,R20,,2011.0,"Civil Rights, Social Action & Advocacy",0
272796248,EARTH CITIZEN CENTER,,2707 NE 95TH ST,SEATTLE,WA,98115-2429,0,3,3,2000,2011-08-01,1,16,0,1,1,201912.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2011.0,Environment,0
272837197,NEIGHBORS FOR CLEAN AIR,% RALPH BLOEMERS,PO BOX 10544,PORTLAND,OR,97296-0544,0,3,3,1000,2011-04-01,1,15,0,1,1,202212.0,4,4,1,0,12,389159.0,352610.0,352610.0,C20,,2011.0,Environment,0
272874267,SAVE UNION BAY ASSOCIATION,% STEPHEN SULZBACHER,3909 NE SURBER DR,SEATTLE,WA,98105-5406,0,3,3,1000,2011-09-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2011.0,Environment,0
272915938,ERTV COMPLIANCE GROUP,% JOHN VEENTJER,100 W HARRISON ST STE S560,SEATTLE,WA,98119-4162,0,4,3,1000,2011-07-01,2,0,0,1,1,202112.0,5,6,1,0,12,560337.0,3284269.0,3284269.0,C20,,2011.0,Environment,0
273009280,THE MOUNTAINEERS,% MARTINIQUE GRIGG,7700 SAND POINT WAY NE,SEATTLE,WA,98115-3996,0,3,3,2000,2011-01-01,1,15,0,1,1,202109.0,8,8,1,0,9,15961748.0,10385594.0,6430077.0,C60,,2011.0,Environment,0
273038403,CLEAN BOATING FOUNDATION,% JAMES BROWN,1900 N NORTHLAKE WAY STE 233,SEATTLE,WA,98103-9051,0,3,3,1200,2011-05-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2011.0,Environment,0
273183502,TFT,% STEVEN PRICE,PO BOX 30817,SEATTLE,WA,98113-0817,0,3,3,1200,2011-01-01,1,15,0,1,1,202112.0,3,6,1,0,12,55172.0,1361249.0,1361249.0,C36,FOREST TRUST,2011.0,Environment,0
273210225,DEPAVE,,PO BOX 12503,PORTLAND,OR,97212-0503,0,3,3,1000,2011-08-01,1,15,0,1,1,202112.0,4,4,1,0,12,140921.0,242101.0,242101.0,C30,,2011.0,Environment,0
273963196,GREATER SEATTLE DISTRICT WSFGC,,9026 22ND AVE SW,SEATTLE,WA,98106-2218,0,3,3,1280,2016-10-01,1,16,0,1,1,202106.0,0,0,2,0,6,0.0,0.0,0.0,C42,,2016.0,Environment,0
275411173,EARTHGEN,,4649 SUNNYSIDE AVE N STE 305,SEATTLE,WA,98103-6955,0,3,3,1000,2011-05-01,1,15,0,1,1,202206.0,5,6,1,0,6,587081.0,1360967.0,1331395.0,C60,,2011.0,Environment,0
300192739,AMERICAS WETLAND FOUNDATION,% MR KING MILLING,1625 PALMER AVE,NEW ORLEANS,LA,70118-6113,0,3,3,1000,2003-08-01,1,15,0,1,1,202112.0,0,1,2,0,12,0.0,851.0,851.0,C30,,2003.0,Environment,0
300208053,MAGNUSON ENVIRONMENTAL STEWARDSHIP ALLIANCE,% WARREN G MAGNUSON,6310 NE 74TH ST STE 206E,SEATTLE,WA,98115-8168,0,3,3,2000,2003-12-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2003.0,Environment,0
300885979,HERONS FOREVER,% SUSAN KROM,4819 49TH AVE SW,SEATTLE,WA,98116-4322,0,3,3,1270,2015-11-01,1,16,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2015.0,Environment,0
301171421,OREGON SOCIETY FOR SEXUAL AFFECTIONAL INTERSEX AND GENDER EX,,1900 SW 4TH AVENUE,PORTLAND,OR,97201-5350,0,3,3,1000,2019-04-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R26,,2019.0,"Civil Rights, Social Action & Advocacy",0
311580932,SUSTAINABLE SEATTLE,,7511 GREENWOOD AVE N 121,SEATTLE,WA,98103-4627,0,3,3,1000,1998-05-01,1,15,994379000,1,1,202212.0,4,6,1,0,12,451853.0,1322770.0,1322770.0,C013,,1998.0,Environment,0
311581092,SAVE OUR ELMS,% RICHARD N ROSS,7110 SE MAIN ST,PORTLAND,OR,97215-2948,0,3,3,1000,1998-01-01,1,15,994379000,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C500,,1998.0,Environment,0
311724040,OREGON SUSTAINABLE AGRICULTURE LAND TRUST INC,% WILL NEWMAN II,3519 NE 15TH AVE NUMBER 502,PORTLAND,OR,97212-2356,0,3,3,1000,2003-06-01,1,15,0,1,1,202112.0,6,6,1,0,12,2745167.0,1103279.0,1103279.0,C34,,2003.0,Environment,0
320073649,NEW PROGRESSIVE NETWORK INC,% JEFFFERSON SMITH,333 SE 2ND AVE,PORTLAND,OR,97214-1028,0,4,3,3000,2006-08-01,2,0,0,1,1,202112.0,4,4,1,0,12,305947.0,161796.0,161796.0,R99,OREGON BUS PROJECT,2006.0,"Civil Rights, Social Action & Advocacy",0
331103430,WILLAMETTE PARTNERSHIP,% DAVID PRIMOZICH,1300 SE STARK ST STE 212,PORTLAND,OR,97214-2472,0,3,3,1200,2006-02-01,1,15,0,1,1,202206.0,6,6,1,0,6,1053618.0,1625593.0,1625593.0,C30,,2006.0,Environment,0
331167415,NEW ORLEANS WORKERS CENTER FOR RACIAL JUSTICE,% COLETTE TIPPY,3500 CANAL STREET 2ND FLOOR,NEW ORLEANS,LA,70119-6109,0,3,3,1200,2010-06-01,1,15,0,1,1,202206.0,6,6,1,0,6,2088725.0,2062903.0,2062903.0,R20,,2010.0,"Civil Rights, Social Action & Advocacy",0
331212539,FRIENDS OF GREEN LAKE,% KAREN SCHURR TREASURER,PO BOX 31905,SEATTLE,WA,98103-0005,0,3,3,1200,2009-11-01,1,15,0,5,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2009.0,Environment,0
352477035,RESEARCH CAN,% DONNA RIORDAN,2821 2ND AVE,SEATTLE,WA,98121-1282,0,3,3,1800,2014-12-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R05,,2014.0,"Civil Rights, Social Action & Advocacy",0
371835615,SUSTAINABLE BALLARD,% JENNY HEINS,2442 NW MARKET ST PMB 286,SEATTLE,WA,98107-4137,0,3,3,1000,2019-11-01,1,16,0,1,1,202212.0,3,3,1,0,12,57995.0,84482.0,84482.0,C01,,2019.0,Environment,0
371897766,FOR THE PEOPLE,% DEREK HOSHIKO,1710 S JACKSON ST STE 201,SEATTLE,WA,98144-2171,0,3,3,1000,2019-06-01,1,15,0,1,1,202012.0,3,3,1,0,12,52755.0,74641.0,74641.0,R20,,2019.0,"Civil Rights, Social Action & Advocacy",0
383886799,WORLD SALMON COUNCIL INC,,1355 NW EVERETT ST STE 100,PORTLAND,OR,97209-2655,0,3,3,2000,2013-02-01,1,15,0,1,1,202206.0,1,4,1,0,6,8643.0,132049.0,132049.0,C32,,2013.0,Environment,0
384067068,THE OREGON STATE FEDERATION OF GARDEN CLUBS INC,% PAT JOHNSON,7480 SW CANYON DR,PORTLAND,OR,97225-3307,3973,3,9,1200,2003-05-01,1,16,0,5,1,202206.0,0,0,2,0,6,0.0,0.0,0.0,C42,BEAVERTON GARDEN CLUB,2003.0,Environment,0
391824118,THE ENGLISH SPRINGER SPANIEL FIELD TRIAL ASSN FOUNDATION INC,,6812 24TH AVE NE,SEATTLE,WA,98115-7038,0,3,3,1000,1995-09-01,1,15,994149913,1,1,202112.0,5,3,1,0,12,811190.0,88688.0,88688.0,C600,,1995.0,Environment,0
450508312,WORLD WATER WATCH A NONPROFIT CORPORATION,% PAUL D ROBILLARD,5405 NW DEERFIELD WAY,PORTLAND,OR,97229-1756,0,3,3,1200,2004-05-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2004.0,Environment,0
