RULING_YEAR,NTEE_NAME,EIN
1972,"Philanthropy, Voluntarism and Grantmaking Foundations",5
1972,Religion-Related,4
1973,"Arts, Culture and Humanities",16
1973,Education,16
1973,Human Services,11
1973,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1973,Religion-Related,2
1974,"Arts, Culture and Humanities",11
1974,Education,13
1974,Human Services,8
1974,"Philanthropy, Voluntarism and Grantmaking Foundations",5
1974,Religion-Related,5
1975,"Arts, Culture and Humanities",21
1975,Education,14
1975,Human Services,18
1975,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1975,Religion-Related,6
1976,"Arts, Culture and Humanities",24
1976,Education,11
1976,Human Services,9
1976,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1976,Religion-Related,5
1977,"Arts, Culture and Humanities",12
1977,Education,5
1977,Human Services,23
1977,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1977,Religion-Related,2
1978,"Arts, Culture and Humanities",15
1978,Education,15
1978,Human Services,11
1978,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1978,Religion-Related,4
1979,"Arts, Culture and Humanities",14
1979,Education,15
1979,Human Services,11
1979,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1979,Religion-Related,1
1980,"Arts, Culture and Humanities",20
1980,Education,12
1980,Human Services,12
1980,"Philanthropy, Voluntarism and Grantmaking Foundations",4
1980,Religion-Related,7
1981,"Arts, Culture and Humanities",16
1981,Education,18
1981,Human Services,14
1981,"Philanthropy, Voluntarism and Grantmaking Foundations",7
1981,Religion-Related,4
1982,"Arts, Culture and Humanities",27
1982,Education,10
1982,Human Services,9
1982,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1982,Religion-Related,3
1983,"Arts, Culture and Humanities",26
1983,Education,26
1983,Human Services,14
1983,"Philanthropy, Voluntarism and Grantmaking Foundations",8
1983,Religion-Related,4
1984,"Arts, Culture and Humanities",19
1984,Education,15
1984,Human Services,19
1984,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1984,Religion-Related,4
1985,"Arts, Culture and Humanities",22
1985,Education,17
1985,Human Services,30
1985,"Philanthropy, Voluntarism and Grantmaking Foundations",4
1985,Religion-Related,4
1986,"Arts, Culture and Humanities",20
1986,Education,17
1986,Human Services,17
1986,"Philanthropy, Voluntarism and Grantmaking Foundations",7
1986,Religion-Related,6
1987,"Arts, Culture and Humanities",16
1987,Education,13
1987,Human Services,15
1987,"Philanthropy, Voluntarism and Grantmaking Foundations",5
1987,Religion-Related,6
1988,"Arts, Culture and Humanities",11
1988,Education,11
1988,Human Services,12
1988,"Philanthropy, Voluntarism and Grantmaking Foundations",7
1988,Religion-Related,8
1989,"Arts, Culture and Humanities",16
1989,Education,27
1989,Human Services,13
1989,"Philanthropy, Voluntarism and Grantmaking Foundations",4
1989,Religion-Related,6
1990,"Arts, Culture and Humanities",26
1990,Education,15
1990,Human Services,19
1990,"Philanthropy, Voluntarism and Grantmaking Foundations",15
1990,Religion-Related,4
1991,"Arts, Culture and Humanities",28
1991,Education,30
1991,Human Services,24
1991,"Philanthropy, Voluntarism and Grantmaking Foundations",13
1991,Religion-Related,10
1992,"Arts, Culture and Humanities",30
1992,Education,42
1992,Human Services,25
1992,"Philanthropy, Voluntarism and Grantmaking Foundations",13
1992,Religion-Related,10
1993,"Arts, Culture and Humanities",31
1993,Education,34
1993,Human Services,33
1993,"Philanthropy, Voluntarism and Grantmaking Foundations",11
1993,Religion-Related,11
1994,"Arts, Culture and Humanities",48
1994,Education,50
1994,Human Services,31
1994,"Philanthropy, Voluntarism and Grantmaking Foundations",16
1994,Religion-Related,29
1995,"Arts, Culture and Humanities",46
1995,Education,66
1995,Human Services,43
1995,"Philanthropy, Voluntarism and Grantmaking Foundations",81
1995,Religion-Related,101
1996,"Arts, Culture and Humanities",66
1996,Education,72
1996,Human Services,44
1996,"Philanthropy, Voluntarism and Grantmaking Foundations",72
1996,Religion-Related,126
1997,"Arts, Culture and Humanities",66
1997,Education,64
1997,Human Services,37
1997,"Philanthropy, Voluntarism and Grantmaking Foundations",155
1997,Religion-Related,139
1998,"Arts, Culture and Humanities",54
1998,Education,92
1998,Human Services,56
1998,"Philanthropy, Voluntarism and Grantmaking Foundations",146
1998,Religion-Related,117
1999,"Arts, Culture and Humanities",67
1999,Education,129
1999,Human Services,45
1999,"Philanthropy, Voluntarism and Grantmaking Foundations",150
1999,Religion-Related,163
2000,"Arts, Culture and Humanities",83
2000,Education,95
2000,Human Services,34
2000,"Philanthropy, Voluntarism and Grantmaking Foundations",147
2000,Religion-Related,170
2001,"Arts, Culture and Humanities",67
2001,Education,109
2001,Human Services,54
2001,"Philanthropy, Voluntarism and Grantmaking Foundations",143
2001,Religion-Related,166
2002,"Arts, Culture and Humanities",85
2002,Education,102
2002,Human Services,60
2002,"Philanthropy, Voluntarism and Grantmaking Foundations",115
2002,Religion-Related,189
2003,"Arts, Culture and Humanities",95
2003,Education,94
2003,Human Services,52
2003,"Philanthropy, Voluntarism and Grantmaking Foundations",93
2003,Religion-Related,187
2004,"Arts, Culture and Humanities",88
2004,Education,103
2004,Human Services,71
2004,"Philanthropy, Voluntarism and Grantmaking Foundations",94
2004,Religion-Related,160
2005,"Arts, Culture and Humanities",77
2005,Education,105
2005,Human Services,69
2005,"Philanthropy, Voluntarism and Grantmaking Foundations",91
2005,Religion-Related,159
2006,"Arts, Culture and Humanities",67
2006,Education,136
2006,Human Services,64
2006,"Philanthropy, Voluntarism and Grantmaking Foundations",100
2006,Religion-Related,186
2007,"Arts, Culture and Humanities",85
2007,Education,126
2007,Human Services,68
2007,"Philanthropy, Voluntarism and Grantmaking Foundations",132
2007,Religion-Related,156
2008,"Arts, Culture and Humanities",74
2008,Education,120
2008,Human Services,65
2008,"Philanthropy, Voluntarism and Grantmaking Foundations",114
2008,Religion-Related,126
2009,"Arts, Culture and Humanities",88
2009,Education,147
2009,Human Services,90
2009,"Philanthropy, Voluntarism and Grantmaking Foundations",102
2009,Religion-Related,132
2010,"Arts, Culture and Humanities",85
2010,Education,137
2010,Human Services,102
2010,"Philanthropy, Voluntarism and Grantmaking Foundations",77
2010,Religion-Related,116
2011,"Arts, Culture and Humanities",94
2011,Education,130
2011,Human Services,88
2011,"Philanthropy, Voluntarism and Grantmaking Foundations",85
2011,Religion-Related,117
2012,"Arts, Culture and Humanities",104
2012,Education,107
2012,Human Services,123
2012,"Philanthropy, Voluntarism and Grantmaking Foundations",78
2012,Religion-Related,124
2013,"Arts, Culture and Humanities",101
2013,Education,150
2013,Human Services,110
2013,"Philanthropy, Voluntarism and Grantmaking Foundations",77
2013,Religion-Related,113
2014,"Arts, Culture and Humanities",274
2014,Education,361
2014,Human Services,272
2014,"Philanthropy, Voluntarism and Grantmaking Foundations",133
2014,Religion-Related,279
2015,"Arts, Culture and Humanities",232
2015,Education,278
2015,Human Services,179
2015,"Philanthropy, Voluntarism and Grantmaking Foundations",132
2015,Religion-Related,193
2016,"Arts, Culture and Humanities",212
2016,Education,229
2016,Human Services,201
2016,"Philanthropy, Voluntarism and Grantmaking Foundations",143
2016,Religion-Related,202
2017,"Arts, Culture and Humanities",209
2017,Education,252
2017,Human Services,194
2017,"Philanthropy, Voluntarism and Grantmaking Foundations",134
2017,Religion-Related,163
2018,"Arts, Culture and Humanities",229
2018,Education,272
2018,Human Services,237
2018,"Philanthropy, Voluntarism and Grantmaking Foundations",148
2018,Religion-Related,142
2019,"Arts, Culture and Humanities",270
2019,Education,329
2019,Human Services,282
2019,"Philanthropy, Voluntarism and Grantmaking Foundations",176
2019,Religion-Related,228
2020,"Arts, Culture and Humanities",251
2020,Education,346
2020,Human Services,331
2020,"Philanthropy, Voluntarism and Grantmaking Foundations",189
2020,Religion-Related,200
2021,"Arts, Culture and Humanities",320
2021,Education,352
2021,Human Services,446
2021,"Philanthropy, Voluntarism and Grantmaking Foundations",171
2021,Religion-Related,169
2022,"Arts, Culture and Humanities",394
2022,Education,446
2022,Human Services,476
2022,"Philanthropy, Voluntarism and Grantmaking Foundations",230
2022,Religion-Related,264
2023,"Arts, Culture and Humanities",179
2023,Education,223
2023,Human Services,201
2023,"Philanthropy, Voluntarism and Grantmaking Foundations",102
2023,Religion-Related,88
